About,Hakkında,
Active,Aktif,
Administrator,Yönetici,
Agreement,Anlaşma,
Agreement Item,Anlaşma Kalemi,
Agreement Items,Anlaşma Kalemleri,
Agreement Price,Anlaşma Fiyatı,
Amended From,Değiştirildi,
Amount,Tutar,
Apps,Uygulamalar,
Cancelled,İptal Edildi,
Currency,Para Birimi,
Customer,Müşteri,
Default UOM,Varsayılan Ölçü Birimi,
Discount Rate,İndirim Oranı,
Documentation,Dökümantasyon,
Draft,Taslak,
Due Date,Termin Tarihi,
Expired,Günü Geçmiş,
Frappe Support,Frappe Desteği,
Grand Total,Genel Toplam,
Invoice Date,Fatura Tarihi,
Item Code,Ürün Kodu,
Item Group,Ürün Grubu,
Item Name,Ürün Adı,
Items,Ürünler,
Keyboard Shortcuts,Klavye Kısayolları,
Kitchen Item,Mutfak Ürünü,
Log out,Çıkış,
My Profile,Profilim,
My Settings,Ayarlarım,
Not Started,Başlamadı,
Price List,Fiyat Listesi,
Qty,Miktar,
Rate,Fiyat,
Reload,Yeniden Yükle,
Report an Issue,Sorun Bildir,
Sales Manager,Satış Yöneticisi,
Sales User,Satış Kullanıcısı,
Session Defaults,Oturum Varsayılanları,
Standard Selling Rate,Satış Fiyatı,
Status,Durum,
Submitted,Kaydedildi,
Supplier,Tedarikçi,
System Manager,Sistem Yöneticisi,
Toggle Full Width,Geniş Görünüm,
Toggle Theme,Temayı Değiştir,
User Forum,Kullanıcı Forumu,
Valid From,Geçerlilik Başlangıç Tarihi,
Valid To,Geçerlilik Bitiş Tarihi,
View Website,Websitesine Git,
